"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 18:36:57 MSK 2022","Fri Oct 21 18:37:04 MSK 2022","6982","tests","test_positive_flow","TestPositiveFlow","","","test_positive_flow_via_downbutton_click_order_placed",""
"passed","Fri Oct 21 18:40:21 MSK 2022","Fri Oct 21 18:40:21 MSK 2022","278","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_8_click_text_shown",""
"passed","Fri Oct 21 18:40:19 MSK 2022","Fri Oct 21 18:40:19 MSK 2022","300","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_2_click_text_shown",""
"passed","Fri Oct 21 18:41:01 MSK 2022","Fri Oct 21 18:41:07 MSK 2022","5477","tests","test_logo","TestLogo","","","test_click_yandex_logo_go_to_yandex_main_page",""
"passed","Fri Oct 21 18:40:19 MSK 2022","Fri Oct 21 18:40:19 MSK 2022","313","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_1_click_text_shown",""
"passed","Fri Oct 21 18:40:20 MSK 2022","Fri Oct 21 18:40:20 MSK 2022","280","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_4_click_text_shown",""
"passed","Fri Oct 21 18:40:20 MSK 2022","Fri Oct 21 18:40:20 MSK 2022","278","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_6_click_text_shown",""
"passed","Fri Oct 21 18:41:12 MSK 2022","Fri Oct 21 18:41:14 MSK 2022","1963","tests","test_logo","TestLogo","","","test_click_scooter_logo_go_to_scooter_main_page",""
"passed","Fri Oct 21 18:40:20 MSK 2022","Fri Oct 21 18:40:20 MSK 2022","259","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_5_click_text_shown",""
"passed","Fri Oct 21 18:40:20 MSK 2022","Fri Oct 21 18:40:21 MSK 2022","270","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_7_click_text_shown",""
"passed","Fri Oct 21 18:36:44 MSK 2022","Fri Oct 21 18:36:51 MSK 2022","7148","tests","test_positive_flow","TestPositiveFlow","","","test_positive_flow_via_upbutton_click_order_placed",""
"passed","Fri Oct 21 18:40:19 MSK 2022","Fri Oct 21 18:40:20 MSK 2022","267","tests","test_accordion_element","TestAccordionElement","","","test_accordion_element_3_click_text_shown",""
